state_code,area_code,nonfarm_size,info_sector_prop
01,00000,2111.7,1.0702277785670316
01,11500,47,0.851063829787234
01,12220,70.1,1.1412268188302428
01,13820,555.6,1.6918646508279338
01,19460,59,0.6779661016949153
01,20020,61.7,0.8103727714748784
01,22520,57.6,0.6944444444444445
01,23460,34,0.5882352941176471
01,26620,263.6,0.9484066767830045
01,33660,188.7,1.0598834128245893
01,33860,178.5,1.0644257703081232
01,46220,110.2,0.7259528130671506
02,00000,319.7,1.5014075695964968
02,11260,173.9,1.8976423231742379
02,21820,36.3,0.8264462809917356
04,00000,3095.4,1.657297925954642
04,22380,67.2,0.5952380952380952
04,29420,55.6,1.079136690647482
04,38060,2319.2,1.858399448085547
04,39140,68.6,0.728862973760933
04,43420,33.8,1.183431952662722
04,46060,393.7,1.3462026924053847
04,49740,60.2,0.6644518272425249
05,00000,1331.7,0.953668243598408
05,22220,295.6,0.8119079837618403
05,22900,113.7,1.231310466138962
05,30780,376.4,1.5143464399574922
06,00000,17688.9,3.438314423169332
06,11244,1670,1.4850299401197606
06,12540,286.6,0.5582693649685974
06,17020,77.3,0.9055627425614489
06,20940,56.2,0.3558718861209964
06,23420,379.4,0.8434370057986295
06,25260,41.5,0.24096385542168677
06,31080,6208.5,4.1878070387372155
06,31084,4538.5,5.1823289633138705
06,31460,42.5,0.7058823529411764
06,32900,71.4,0.42016806722689076
06,33700,186.1,0.42987641053197206
06,34900,72.6,0.4132231404958678
06,36084,1178.9,2.112138434133514
06,37100,311.5,1.2841091492776886
06,39820,68.9,0.7256894049346879
06,40140,1660.3,0.6143468047943142
06,40900,1063.7,0.9871204286923004
06,41500,143.5,0.627177700348432
06,41740,1534.2,1.433972102724547
06,41860,2469.8,6.194833589764353
06,41884,1181.2,10.607856417202843
06,41940,1157.8,9.189842805320437
06,42020,118.6,1.0961214165261384
06,42034,109.6,2.5547445255474455
06,42100,100.2,0.5988023952095808
06,42200,194.6,2.3124357656731758
06,42220,204.2,1.2732615083251715
06,44700,273.2,0.43923865300146414
06,46700,139.7,0.644237652111668
06,47300,138.4,0.4335260115606936
06,49700,50.3,0.3976143141153082
08,00000,2862.3,2.7460433916780205
08,14500,204.4,4.305283757338552
08,17820,316,1.6455696202531647
08,19740,1586.7,3.3969874582466755
08,22660,178.6,1.5117581187010078
08,24300,65.8,0.911854103343465
08,24540,109.7,0.4557885141294439
08,39380,64,0.78125
09,00000,1665.6,1.8731988472622478
09,71950,399.9,3.1257814453613406
09,73450,571.1,1.5583960777447032
09,75700,297.5,1.3109243697478992
09,76450,122.9,1.1391375101708705
09,78700,66,0.9090909090909091
10,00000,472.1,0.8049142130904469
10,20100,70.9,0.7052186177715091
10,41540,168.2,0.7728894173602854
10,48864,368,0.7608695652173912
11,00000,764.4,2.72108843537415
11,47894,2716.8,2.513987043580683
11,47900,3307.6,2.4428588704801064
12,00000,9423.2,1.6501825282282025
12,15980,299.8,1.1007338225483654
12,18880,127.7,1.2529365700861395
12,19660,217.8,0.8264462809917356
12,22744,886.8,2.289129454217411
12,23540,151,1.3907284768211923
12,27260,771.8,1.7362010883648618
12,29460,265,0.9056603773584906
12,33100,2807.8,1.9730750053422608
12,33124,1252.9,1.8995929443690638
12,34940,165.2,0.847457627118644
12,35840,326.4,1.2254901960784315
12,36100,116.4,0.5154639175257731
12,36740,1393.7,1.9372892301069096
12,37340,243.2,1.0279605263157896
12,37460,85.4,0.8196721311475409
12,37860,193,0.9326424870466322
12,38940,165.8,0.844390832328106
12,39460,53.9,0.7421150278293136
12,42680,56.5,0.7079646017699116
12,45220,193,2.072538860103627
12,45300,1478.9,1.9473933328825477
12,48424,668.1,1.6913635683280945
13,00000,4797.7,2.6658607249306963
13,12060,2987.4,3.802637745196492
13,12260,243.1,0.8638420403126287
13,17980,121.5,0.9876543209876543
13,42340,199.3,0.852985449071751
15,00000,618.1,1.375182009383595
15,27980,74.4,0.9408602150537633
15,46520,444.7,1.5740948954351248
16,00000,827.1,1.1002297182928302
16,14260,382.1,1.1777021722062286
16,17660,72.1,1.1095700416088767
16,26820,78.7,0.8894536213468869
16,30300,29.6,1.3513513513513513
16,38540,38.9,0.5141388174807199
17,00000,6032.8,1.5796976528311895
17,14010,95.9,0.5213764337851928
17,16580,118.2,1.9458544839255496
17,16974,3751.9,1.9483461712732213
17,16980,4703.5,1.7285000531519081
17,19180,26.8,0.3731343283582089
17,19340,182.6,0.7667031763417306
17,19500,48.2,0.6224066390041494
17,20994,259.8,0.8083140877598153
17,28100,43,0.6976744186046512
17,29404,416.3,1.0329089598846983
17,37900,169,1.0059171597633136
17,40420,146.3,0.956937799043062
17,44100,107.9,2.4096385542168677
18,00000,3193.6,0.8423096192384769
18,14020,80.4,0.9950248756218906
18,18020,51.9,0.5780346820809248
18,21140,146,0.3424657534246575
18,21780,158.6,1.0088272383354353
18,23060,231.1,0.8654262224145393
18,23844,275.5,0.6896551724137931
18,26900,1133.9,1.111209101331687
18,29020,36.1,0.554016620498615
18,29200,106.3,0.6585136406396989
18,33140,41.2,0.48543689320388345
18,34620,47.9,0.8350730688935283
18,43780,137.7,1.016702977487291
18,45460,66.9,0.896860986547085
19,00000,1570.3,1.2163280901738522
19,16300,142.3,2.178496134926212
19,19780,384.2,1.5877147319104632
20,00000,1418.6,1.2829550260820528
20,45820,111.7,0.8952551477170994
20,48620,303.8,1.2179065174456878
20,92812,490.6,1.5695067264573992
21,00000,1961.4,1.0961558070765778
21,30460,284.8,1.053370786516854
21,31140,680.8,1.2779083431257343
21,36980,52.5,0.5714285714285714
