Baby Boomer,Gen X,Millennial,total_gen_adult_yr
44.48421313702512,61.20576618703625,55.609058375978115,1
50.058621957917005,60.81669907378032,58.52708125667328,2
48.34739491500188,61.04243365046747,62.38362983057708,3
54.44285396248378,69.1556108456163,62.54930455414023,4
60.24736771480862,69.12426521456646,64.76334324420799,5
57.09680929079445,70.50023847835357,73.57723924235032,6
56.60935714632921,64.52253788853749,81.52158480588292,7
57.20542422440006,61.983291346011214,71.49819197528214,8
60.53846919719423,62.4285003737789,58.78410401832848,9
67.53184473130513,67.89961172538591,NA,10
72.36821606222661,76.58620979883268,NA,11
77.22688847509748,88.97484211208784,NA,12
74.38681195724241,88.23759832948353,NA,13
77.95124156106998,88.26757864004188,NA,14
83.91066063555262,88.83803583127357,NA,15
86.0509607790034,82.52158169096906,NA,16
90.06292338022446,80.6190887628364,NA,17
87.21664495914817,83.96679422016919,NA,18
83.65486932467486,85.89371365035639,NA,19
92.82650384292904,85.06678092347848,NA,20
90.4715159479307,84.18455778530645,NA,21
90.18021315679634,94.43201800846661,NA,22
81.0624794980409,103.25645360753337,NA,23
76.04683630141031,88.12299892462418,NA,24
75.04213556608454,69.82227149526824,NA,25
77.86072428315191,NA,NA,26
84.2110102936914,NA,NA,27
95.74503989024419,NA,NA,28
94.0153453166558,NA,NA,29
90.64092122418417,NA,NA,30
90.61107826520775,NA,NA,31
81.56669213887321,NA,NA,32
76.58331425320655,NA,NA,33
76.43039617259302,NA,NA,34
75.18473572119645,NA,NA,35
72.5857697079338,NA,NA,36
71.16931265830897,NA,NA,37
74.16675637722244,NA,NA,38
80.45247211660715,NA,NA,39
65.54052313678882,NA,NA,40
51.430135733784645,NA,NA,41
